DMS CODE,DMS 관측소명,기상 1순위 ,관측소 코드,기상 1순위 거리(m),기상 1순위 소스,기상 2순위 ,기상 2순위  코드,기상 2순위 거리(m),기상 2순위 소스,기상 3순위 ,기상 3순위 코드,기상 3순위 거리(m),기상 3순위 소스
S01001,연지근린공원,효제동,1181,527.6416468,공공기관,종로,1214,661.2759221262922,공공기관,중구청,1144,1353.904796212781,공공기관
S01002,지봉골공원,효제동,1181,1121.4215882604617,공공기관,성북구청,1130,1200.3639447648777,공공기관,용두동,1183,1305.8238241548893,공공기관
S02001,남산골한옥마을,중구청,1144,670.3752354,공공기관,중구,419,917.7690703390205,종관방재,을지로동,1080,995.8925686003055,공공기관
S02002,다산동주민센터,약수동,1081,225.16168583516975,공공기관,중구청,1144,1374.3159814536468,공공기관,효제동,1181,1972.390996444435,공공기관
S03001,원효빗물펌프장,원효로2동,1087,897.8104744259213,공공기관,효창동,1088,948.2407137291253,공공기관,이촌동,1086,1332.1404616755462,공공기관
S03002,보광동주민센터,한남동,1207,387.94623068873466,공공기관,한남펌프장,1138,735.9977326607504,공공기관,용산구청,1137,1105.0746561203518,공공기관
S04001,성동구민종합체육센터,뚝섬,1127,315.3052166180005,공공기관,서울숲,1015,386.9628130150336,공공기관,성동,421,482.5508308917616,종관방재
S04002,성동구보건소,성동구청,1128,512.2350647933096,공공기관,동대문구청,1118,979.0545474164198,공공기관,용두동,1183,1058.566803491321,공공기관
S05001,자양유수지공영주차장,광진,413,834.3183843,종관방재,광진구청,1110,1081.4516062365094,공공기관,자양,1083,1639.8726607805954,공공기관
S05002,중곡3동마을공원,장안동,1074,1460.1192546395505,공공기관,면목,1145,1492.8579910128199,공공기관,중랑,409,1708.1225814028285,종관방재
S06001,휘경빗물펌프장,휘경펌프장,1119,465.46218363111154,공공기관,동대문,408,957.0435232645801,종관방재,장안동,1074,1204.3574493610727,공공기관
S06002,청량리동주민센터,청량리,1211,942.9593410919277,공공기관,동대문,408,1165.8753178746995,종관방재,동대문구청,1118,1484.3645919919686,공공기관
