DMS_Code,측정소,가장 가까운 종관방재 관측소명,종관방재 관측소 코드,거리(m)
S01001,연지근린공원,중구,419,2849.4441773944814
S01002,지봉골공원,성북,414,3902.3185194702205
S02001,남산골한옥마을,중구,419,917.7690703390205
S02002,다산동주민센터,중구,419,1837.4823727629716
S03001,원효빗물펌프장,용산,415,2114.5351186931134
S03002,보광동주민센터,용산,415,2227.374883746693
S04001,성동구민종합체육센터,성동,421,482.5508308917616
S04002,성동구보건소,성동,421,2255.5612880739804
S05001,자양유수지공영주차장,광진,413,834.3183843
S05002,중곡3동마을공원,중랑,409,1708.1225814028285
S06001,휘경빗물펌프장,동대문,408,957.0435232645801
S06002,청량리동주민센터,동대문,408,1165.8753178746995
S07001,중랑캠핑숲,노원,407,2319.0096092703698
S07002,샘터공원,중랑,409,1385.3302864826605
S08001,석관빗물펌프장,노원,407,2527.173536442529
S08002,성북구보건소,동대문,408,2735.4281511120175
S09001,우이3교 하수과창고,강북,424,967.2239421117646
S09002,오패산공원,강북,424,1360.6963818326774
S10001,초안산근린공원,강북,424,1667.7133924697005
S10002,쌍문3동주민센터,강북,424,1055.0028985345555
S11001,마들로1가길,노원,407,2221.277012761027
S11002,공릉1동주민센터,노원,407,1609.839419736032
S12001,불광보건분소,은평,416,3044.951263289458
S12002,은평구보건소,서대문,412,3695.1430223971443
S13001,북가좌1동주민센터,마포,411,3000.534400963302
S13002,서대문구청제1별관,서대문,412,1210.7084616361774
S14001,마포유수지,한강,418,1600.594550656582
S14002,은행나무어린이공원,마포,411,1560.7791557404362
S15001,목동도심소공원,양천,405,1872.534146542921
S15002,앞산어린이공원,양천,405,1755.4380495642695
S16001,화곡보건분소,양천,405,3343.3668406524052
S16002,강서구보건소,양천,405,2384.3105843251533
S17001,금강수목원아파트,구로,423,733.0997975557766
S17002,세화어린이집,광명,437,2051.013590585357
S18001,금천구보건소,금천,417,986.7133379766234
S18002,독산보건분소,금천,417,926.8329522987617
S19001,신길동공원,기상청,410,1540.8368506319835
S19002,여의도샛강생태공원,영등포,510,1594.111300615299
S20001,흑석빗물펌프장,현충원,889,1503.9649224725194
S20002,동작문화복지센터,한강,418,2315.4263151329465
S21001,남부어린이공원,기상청,410,985.2248000278732
S21002,백설어린이공원,관악,509,2601.5445696199813
S22001,방배빗물펌프장,현충원,889,1472.0846425818106
S22002,서초1동주민센터,서초,401,857.9224331
S23001,아랫반마을펌프장,강남,400,4538.422084580934
S23002,강남구보건소,성동,421,3418.5551917449557
S24001,몽촌빗물펌프장,송파,403,2022.2636742895195
S24002,가락근린공원,송파,403,2797.076440978777
S25001,동명근린공원,강동,402,1869.2199794578946
S25002,강동구보건소,강동,402,3343.831040847135
