지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,서울,2015-04-01,10,17.6,2.5,4.1,67.9
108,서울,2015-04-02,8.5,21.8,28,5,70.5
108,서울,2015-04-03,6.9,15.1,3.5,2.8,83.4
108,서울,2015-04-04,8.9,18.5,0,4.3,48
108,서울,2015-04-05,10.1,12.2,.5,2.5,75.1
108,서울,2015-04-06,6.9,15.4,,2.7,55.8
108,서울,2015-04-07,5.5,12.2,0,2.6,59.5
108,서울,2015-04-08,3.5,13.7,,2.9,52.5
108,서울,2015-04-09,3.8,16.3,,2.3,43
108,서울,2015-04-10,4.6,19.2,,2.8,40.5
108,서울,2015-04-11,6.7,20.7,,2.5,39.3
108,서울,2015-04-12,9.1,20.4,,2.9,30.6
108,서울,2015-04-13,7.4,17.6,6.5,5.9,53.9
108,서울,2015-04-14,5.8,8,10.5,2.7,89.9
108,서울,2015-04-15,5.6,17,1,2.9,72
108,서울,2015-04-16,6.9,14.8,7,3.6,69.5
108,서울,2015-04-17,4.8,16.1,,3.7,45.4
108,서울,2015-04-18,5.2,23.7,0,1.9,31.9
108,서울,2015-04-19,11.2,17.3,12,3.7,74.8
108,서울,2015-04-20,10.3,16.8,5.5,3.2,75.3
108,서울,2015-04-21,7.7,20.9,,2.9,46
108,서울,2015-04-22,9.3,20.7,0,3,47
108,서울,2015-04-23,8,20.1,,3.5,41.1
108,서울,2015-04-24,10.4,22.8,,3.2,38.3
108,서울,2015-04-25,9.2,23,,2.7,31.3
108,서울,2015-04-26,9.9,24.4,,3.3,37.6
108,서울,2015-04-27,12.7,24.9,,2.8,39.3
108,서울,2015-04-28,12.3,26.9,0,2.1,38.6
108,서울,2015-04-29,15.8,18.4,3.5,2.9,77
108,서울,2015-04-30,15.1,28.3,,2.2,56.6
108,서울,2015-05-01,15.9,27.2,,2.5,58.8
108,서울,2015-05-02,15.8,26,.5,2.1,64.4
108,서울,2015-05-03,17.1,19.6,3.5,2.1,90.4
108,서울,2015-05-04,12.5,20.1,,4.2,45.9
108,서울,2015-05-05,8.3,19.9,,3.4,37.9
108,서울,2015-05-06,9.8,22,,2.4,36.3
108,서울,2015-05-07,10.6,24,,2.6,35.6
108,서울,2015-05-08,11.7,22.7,,2.5,64.3
108,서울,2015-05-09,12.6,24,,3,55
108,서울,2015-05-10,13.5,25.9,,2.3,39.6
108,서울,2015-05-11,14.4,24.1,14,3,62.1
108,서울,2015-05-12,10.3,17.5,9.5,6.4,75.9
108,서울,2015-05-13,11.8,21.4,0,5.3,56.9
108,서울,2015-05-14,15.3,26.6,,3.3,63.8
108,서울,2015-05-15,16.3,23.7,,2.7,71
108,서울,2015-05-16,11.6,25.2,,3,41.3
108,서울,2015-05-17,11.7,25.2,,2.2,40.4
108,서울,2015-05-18,13.7,22.2,,3.2,53.9
108,서울,2015-05-19,13,16.2,1,3.6,88.9
108,서울,2015-05-20,10.6,21.9,,3.1,60
108,서울,2015-05-21,12.6,26,,3.7,50.1
108,서울,2015-05-22,13.7,27.2,,2.9,45.3
108,서울,2015-05-23,13.6,28.3,,2.5,38.5
108,서울,2015-05-24,14,28.5,,2.4,37.3
108,서울,2015-05-25,14.4,28.7,,2.7,53.1
108,서울,2015-05-26,14.1,30.3,,2.7,48.9
108,서울,2015-05-27,14.4,31.5,,2,32.9
108,서울,2015-05-28,16.7,32.2,,2.2,27.1
108,서울,2015-05-29,18.5,29.8,,2.5,36.8
108,서울,2015-05-30,17,23.2,.4,2.9,71
108,서울,2015-05-31,15.3,30.4,,2.2,52.8
108,서울,2015-06-01,15.8,28.5,,2.6,44.6
108,서울,2015-06-02,18.1,29.8,,2.7,46.9
108,서울,2015-06-03,17.1,29.4,,3.8,33.3
108,서울,2015-06-04,17.1,31.5,,2.6,28.9
108,서울,2015-06-05,17.5,22,1,1.7,58.8
108,서울,2015-06-06,16.4,28.9,,2.3,50.4
108,서울,2015-06-07,18.7,31.5,,2.3,46.8
108,서울,2015-06-08,18.2,27.8,,2.3,54.9
108,서울,2015-06-09,18.8,28.1,,2.9,66.3
108,서울,2015-06-10,17.6,34.9,,2.2,54.3
108,서울,2015-06-11,20.7,30.2,7.5,2.8,59.6
108,서울,2015-06-12,19.4,29.9,.5,3.8,63.1
108,서울,2015-06-13,20.1,30.9,.5,3.2,61.9
108,서울,2015-06-14,17.8,27.7,15.5,2.7,70.3
108,서울,2015-06-15,19.6,30.6,,2.2,65.6
108,서울,2015-06-16,20,30.9,,2.4,65.9
108,서울,2015-06-17,20.2,30.8,9.5,2.6,72.8
108,서울,2015-06-18,19.6,31.3,3,2.7,59.4
108,서울,2015-06-19,20,29.9,,2.9,57.8
108,서울,2015-06-20,17,22.6,44.5,1.8,91
108,서울,2015-06-21,15.6,29.6,,2,69.1
108,서울,2015-06-22,19.4,29.1,,2.4,60.4
108,서울,2015-06-23,19.7,31,,2.3,64.1
108,서울,2015-06-24,21.1,30.6,,2.5,58.3
108,서울,2015-06-25,21,29.1,2,2.1,65.1
108,서울,2015-06-26,18,25.3,12.5,3.3,75.8
108,서울,2015-06-27,19.2,31.1,,2.2,55.3
108,서울,2015-06-28,21,31.1,,2.6,61.8
108,서울,2015-06-29,21.2,30.6,0,2.8,61.8
108,서울,2015-06-30,21.9,29.2,2.5,1.7,70
108,서울,2015-07-01,21,27.9,.5,3.8,66.3
108,서울,2015-07-02,20.4,29.3,,4,64.5
108,서울,2015-07-03,19.2,28.3,,3,62.6
108,서울,2015-07-04,18.2,29.9,,2.2,55.8
108,서울,2015-07-05,20.1,29.6,,2.3,57.4
108,서울,2015-07-06,20.2,32.5,,2.2,54.3
108,서울,2015-07-07,21.4,29.7,,2,52.1
108,서울,2015-07-08,20.7,26.3,.5,4,69.8
108,서울,2015-07-09,22.1,31.8,,2.9,61.3
108,서울,2015-07-10,23.6,34.3,,1.9,60.9
108,서울,2015-07-11,25.7,36,0,2.1,60.3
108,서울,2015-07-12,24,28,29,4,94.1
108,서울,2015-07-13,21.4,24.9,10,5.2,90.8
108,서울,2015-07-14,22.5,31.4,,3.5,72.4
108,서울,2015-07-15,22.7,33.9,,2.9,58.8
108,서울,2015-07-16,20.6,28.9,,5,51.3
108,서울,2015-07-17,18.4,28.6,,3.6,49.8
108,서울,2015-07-18,22.3,27.8,.5,2.2,63.5
108,서울,2015-07-19,21.3,29.8,5,1.8,77.4
108,서울,2015-07-20,24.4,31.2,,2.4,71.4
108,서울,2015-07-21,24.6,29.6,11,1.6,81.6
108,서울,2015-07-22,25.3,31.7,1,1.8,76.9
108,서울,2015-07-23,24.9,32.1,16,2.1,81
108,서울,2015-07-24,22.6,25.4,26.5,2,96.9
