지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s)
400,강남,2021-04-01,9,24.8,0,1.5
400,강남,2021-04-02,13.1,23.6,0,1.4
400,강남,2021-04-03,11,18.5,54,1
400,강남,2021-04-04,9.4,17.2,0,1.6
400,강남,2021-04-05,6.1,19.6,0,1.2
400,강남,2021-04-06,8.9,20.3,0,1.6
400,강남,2021-04-07,7.4,21.4,0,1.5
400,강남,2021-04-08,7.1,18.9,0,1.8
400,강남,2021-04-09,6.9,19.8,0,1.3
400,강남,2021-04-10,8.1,19.6,0,1.6
400,강남,2021-04-11,6.7,22.5,0,.9
400,강남,2021-04-12,11.8,18.7,19,1.1
400,강남,2021-04-13,6.9,14.8,5,2.2
400,강남,2021-04-14,5.2,15,0,1.9
400,강남,2021-04-15,5.5,19.3,0,1.2
400,강남,2021-04-16,7.5,15.2,.5,1.6
400,강남,2021-04-17,5.2,14.9,0,1.5
400,강남,2021-04-18,7.2,16.4,0,2.1
400,강남,2021-04-19,5.5,20.7,0,1.4
400,강남,2021-04-20,7.3,23.5,0,1
400,강남,2021-04-21,9,29.6,0,.9
400,강남,2021-04-22,16.5,29.1,0,1.2
400,강남,2021-04-23,17.6,23.4,0,1.3
400,강남,2021-04-24,15,23,0,1.1
400,강남,2021-04-25,11.8,24.4,0,1.1
400,강남,2021-04-26,12.2,22.6,0,1.6
400,강남,2021-04-27,12.7,20.7,0,1.3
400,강남,2021-04-28,11.5,20.2,3.5,1.4
400,강남,2021-04-29,10.6,19.8,5,1.1
400,강남,2021-04-30,8.2,14.4,21,1.4
400,강남,2021-05-01,8.4,15.3,9.5,1.7
400,강남,2021-05-02,8.1,19.9,1,1.5
400,강남,2021-05-03,7.3,21.6,0,1.2
400,강남,2021-05-04,11.8,16.9,19.5,.8
400,강남,2021-05-05,9.9,19.9,.5,2.1
400,강남,2021-05-06,8.5,23.8,0,1.6
400,강남,2021-05-07,10.9,17.9,8,2.2
400,강남,2021-05-08,9.2,21.4,0,2.1
400,강남,2021-05-09,9.5,23.2,0,2.1
400,강남,2021-05-10,10.5,14.6,0,.9
400,강남,2021-05-11,8.7,26.4,0,1.4
400,강남,2021-05-12,17.7,28,0,1
400,강남,2021-05-13,15.1,30.2,0,.9
400,강남,2021-05-14,16.7,31.1,0,.9
400,강남,2021-05-15,20,25.4,18.5,.8
400,강남,2021-05-16,14.3,21.1,46.5,.8
400,강남,2021-05-17,14.1,17.1,2.5,.6
400,강남,2021-05-18,14.5,26.3,0,1.1
400,강남,2021-05-19,11.4,28.2,0,1
400,강남,2021-05-20,15.3,23.8,1.5,1
400,강남,2021-05-21,14,18.4,12.5,.9
400,강남,2021-05-22,13.2,25.6,0,1.6
400,강남,2021-05-23,13.2,26.9,0,1
400,강남,2021-05-24,16.6,25.8,0,1.8
400,강남,2021-05-25,12.2,19.9,7,1.9
400,강남,2021-05-26,11.7,24.5,0,1.7
400,강남,2021-05-27,13.2,20.1,7,1.6
400,강남,2021-05-28,11.9,21.3,29,1.5
400,강남,2021-05-29,12.7,21.2,0,1.2
400,강남,2021-05-30,11.1,28.2,18,1.1
400,강남,2021-05-31,16.7,24.6,6,.9
400,강남,2021-06-01,17.4,26.4,0,1
400,강남,2021-06-02,16.6,31.3,0,1
400,강남,2021-06-03,14.4,24.1,22.5,.8
400,강남,2021-06-04,13.6,25.5,.5,1.6
400,강남,2021-06-05,16.2,27,0,1.9
400,강남,2021-06-06,17.4,28.7,0,1.2
400,강남,2021-06-07,17.8,25.2,0,.7
400,강남,2021-06-08,18.8,30.6,0,.7
400,강남,2021-06-09,19.3,33.5,0,.6
400,강남,2021-06-10,19.6,31.4,9,1.1
400,강남,2021-06-11,19.5,26,5,1.7
400,강남,2021-06-12,19.1,32.7,0,.9
400,강남,2021-06-13,20.8,32.1,0,1.1
400,강남,2021-06-14,19.7,31.7,0,1.2
400,강남,2021-06-15,21.2,26,3.5,.9
400,강남,2021-06-16,20.4,30,0,1.5
400,강남,2021-06-17,20.7,25.7,0,1.3
400,강남,2021-06-18,19.4,22.2,3,1.3
400,강남,2021-06-19,18.6,29.6,0,1.2
400,강남,2021-06-20,17.7,30.7,0,1.7
400,강남,2021-06-21,20.1,30.5,0,1.4
400,강남,2021-06-22,20.6,28.5,1,1.1
400,강남,2021-06-23,19.3,27.6,16.5,1.1
400,강남,2021-06-24,18.1,28.7,0,1.2
400,강남,2021-06-25,18.7,30,0,1.2
400,강남,2021-06-26,20.2,27.3,4.5,.9
400,강남,2021-06-27,19.5,31.5,7,.9
400,강남,2021-06-28,20.9,30,0,.7
400,강남,2021-06-29,21.2,28.7,0,.9
400,강남,2021-06-30,21.5,28.9,5,.6
400,강남,2021-07-01,21.3,32.7,0,.7
400,강남,2021-07-02,23.4,32.4,0,.9
400,강남,2021-07-03,20.4,26.9,68,1.8
400,강남,2021-07-04,20.6,24.3,17,1.2
400,강남,2021-07-05,21,28.7,0,.8
400,강남,2021-07-06,21.3,30.8,0,.9
400,강남,2021-07-07,23.2,30.2,1.5,1.2
400,강남,2021-07-08,24.2,32.2,3,1.2
400,강남,2021-07-09,24.1,30.6,0,1.1
400,강남,2021-07-10,22.6,30.3,12,1.3
400,강남,2021-07-11,24.3,30.2,0,1.2
400,강남,2021-07-12,23.7,33.7,0,1.1
400,강남,2021-07-13,25.8,33.5,0,1
400,강남,2021-07-14,25.3,34.8,0,1.5
400,강남,2021-07-15,25.3,35.5,0,1
400,강남,2021-07-16,24,36.5,0,1
400,강남,2021-07-17,24.9,33.8,0,1.3
400,강남,2021-07-18,25.7,34.6,0,1.5
400,강남,2021-07-19,24.7,32,10.5,1
400,강남,2021-07-20,23.8,33.7,0,.7
400,강남,2021-07-21,25.5,36.9,0,.7
400,강남,2021-07-22,26.1,37,0,1
400,강남,2021-07-23,27,37.2,0,1.1
400,강남,2021-07-24,26.7,37.3,0,.9
400,강남,2021-07-25,26.8,37.1,0,1.5
400,강남,2021-07-26,26.9,36.4,0,1.6
400,강남,2021-07-27,28.1,37.9,0,1.1
400,강남,2021-07-28,26.9,36.1,0,1.1
400,강남,2021-07-29,27.4,34.6,0,1.1
400,강남,2021-07-30,25.8,36.2,0,1.4
400,강남,2021-07-31,25.9,35.1,15.5,1.4
400,강남,2021-08-01,24.9,30.6,9.5,.7
400,강남,2021-08-02,24.9,29.6,.5,1
400,강남,2021-08-03,24.3,32.8,.5,1.1
400,강남,2021-08-04,26.4,34.2,0,1.4
400,강남,2021-08-05,26.2,35.4,0,1.2
400,강남,2021-08-06,26.9,35.5,0,1.2
400,강남,2021-08-07,24,34.1,0,.9
400,강남,2021-08-08,25.3,32.9,0,.9
400,강남,2021-08-09,25.2,35.2,0,1.1
400,강남,2021-08-10,24.6,33.7,0,1.3
400,강남,2021-08-11,24.9,33.4,0,1
400,강남,2021-08-12,22.3,32.8,3,.7
400,강남,2021-08-13,23.6,30.8,0,.7
400,강남,2021-08-14,24.6,31.4,0,1.3
400,강남,2021-08-15,22.7,33,0,1
400,강남,2021-08-16,23.4,33.1,0,1.2
400,강남,2021-08-17,22.2,32.8,5,1.2
400,강남,2021-08-18,20.2,31.1,11.5,1.1
400,강남,2021-08-19,21.8,32.3,0,1.2
400,강남,2021-08-20,22.6,31.2,1.5,1.3
400,강남,2021-08-21,21.2,26.6,60,1.4
400,강남,2021-08-22,22,28.3,.5,1.2
400,강남,2021-08-23,20.9,24.9,6.5,1
400,강남,2021-08-24,21.3,27.5,13,1.3
400,강남,2021-08-25,23.5,28.1,.5,1.2
400,강남,2021-08-26,22.9,29.7,0,1.4
400,강남,2021-08-27,20.7,26.1,2.5,.6
400,강남,2021-08-28,20.3,29.8,0,1.1
400,강남,2021-08-29,20.7,28.1,4.5,.9
400,강남,2021-08-30,21.9,28.8,0,.7
400,강남,2021-08-31,18,23.8,104.5,.6
400,강남,2021-09-01,18.6,24.4,2.5,.7
400,강남,2021-09-02,21.1,27.3,0,.9
400,강남,2021-09-03,20.2,30.3,0,1
400,강남,2021-09-04,18.4,29.4,0,1.1
400,강남,2021-09-05,18.5,28.1,0,1.1
400,강남,2021-09-06,17.9,27.5,13.5,1.4
400,강남,2021-09-07,17.8,22.1,29,.9
400,강남,2021-09-08,19.4,29.1,.5,1
400,강남,2021-09-09,19,29.9,0,.7
400,강남,2021-09-10,20.1,30.2,0,1
400,강남,2021-09-11,19.9,31.2,0,.9
400,강남,2021-09-12,19.4,31.6,0,.6
400,강남,2021-09-13,20.3,31.2,0,.9
400,강남,2021-09-14,19.3,30.3,0,1.1
400,강남,2021-09-15,20,30,0,1.6
400,강남,2021-09-16,18.6,28.4,0,1.1
400,강남,2021-09-17,21.3,29.2,0,1.3
400,강남,2021-09-18,19.4,30.3,0,.7
400,강남,2021-09-19,20.1,28.3,0,.6
400,강남,2021-09-20,19.4,29.2,0,1.6
400,강남,2021-09-21,17.7,26.9,55,1.6
400,강남,2021-09-22,17,26.3,19,1.5
400,강남,2021-09-23,17.1,27,0,1.4
400,강남,2021-09-24,16.6,28,0,.9
400,강남,2021-09-25,18.9,24.1,0,.8
400,강남,2021-09-26,18.2,28,0,.9
400,강남,2021-09-27,19.1,25.9,0,.9
400,강남,2021-09-28,19.9,24.7,2,.9
400,강남,2021-09-29,18.2,22.7,7,1
400,강남,2021-09-30,17,27.4,0,.5
