지점,날짜,평균기온(℃),최고기온(℃),최저기온(℃),일강수량(mm),평균풍속(m/s),평균 상대습도(%)
2,2015-03-31,7.5,7.5,7.5,0.0,1.1,56.6
2,2015-04-01,11.5,11.5,11.5,0.5,0.2,94.5
2,2015-04-02,3.8,3.8,3.8,0.0,0.9,83.4
3,2015-03-31,16.8,16.8,16.8,0.0,2.9,
3,2015-04-01,17.0,17.0,17.0,0.0,0.4,
3,2015-04-02,13.5,13.5,13.5,0.0,3.7,
5,2015-03-31,13.4,13.4,13.4,0.0,0.2,
5,2015-04-01,15.7,15.7,15.7,0.0,0.3,
5,2015-04-02,13.7,13.7,13.7,0.0,4.3,
6,2015-03-31,12.8,12.8,12.8,0.0,2.0,
6,2015-04-01,15.1,15.1,15.1,0.0,1.7,
6,2015-04-02,11.0,11.0,11.0,0.0,5.8,
7,2015-03-31,13.0,13.0,13.0,0.0,1.3,
7,2015-04-01,15.2,15.2,15.2,0.0,2.1,
7,2015-04-02,12.2,12.2,12.2,0.0,1.1,
8,2015-03-31,9.8,9.8,9.8,0.0,7.0,
8,2015-04-01,11.3,11.3,11.3,0.0,2.6,
8,2015-04-02,13.0,13.0,13.0,0.0,2.3,
9,2015-03-31,9.6,9.6,9.6,0.0,2.7,67.8
9,2015-04-01,11.4,11.4,11.4,0.0,2.4,90.1
9,2015-04-02,12.5,12.5,12.5,0.0,1.6,64.7
10,2015-03-31,5.0,5.0,5.0,0.0,,96.7
10,2015-04-01,9.3,9.3,9.3,0.0,,96.7
10,2015-04-02,9.8,9.8,9.8,0.0,,89.8
11,2015-03-31,9.7,9.7,9.7,0.0,2.8,
11,2015-04-01,12.6,12.6,12.6,0.0,0.6,
11,2015-04-02,11.1,11.1,11.1,0.0,0.6,
12,2015-03-31,6.8,6.8,6.8,0.0,2.6,89.7
12,2015-04-01,12.3,12.3,12.3,0.0,2.9,91.9
12,2015-04-02,10.3,10.3,10.3,0.0,4.7,79.8
13,2015-03-31,14.7,14.7,14.7,0.0,4.4,85.6
13,2015-04-01,13.9,13.9,13.9,0.0,4.4,100.0
13,2015-04-02,13.1,13.1,13.1,0.0,5.0,92.4
16,2015-03-31,14.2,14.2,14.2,0.0,3.4,
16,2015-04-01,15.0,15.0,15.0,0.0,2.1,
16,2015-04-02,13.1,13.1,13.1,0.0,0.9,
17,2015-03-31,13.4,13.4,13.4,0.0,4.8,
17,2015-04-01,14.3,14.3,14.3,0.0,2.9,
17,2015-04-02,11.5,11.5,11.5,0.0,1.0,
18,2015-03-31,13.8,13.8,13.8,0.0,2.6,
18,2015-04-01,15.2,15.2,15.2,0.0,3.0,
18,2015-04-02,11.1,11.1,11.1,0.0,2.9,
19,2015-03-31,13.1,13.1,13.1,0.0,1.7,
19,2015-04-01,14.9,14.9,14.9,0.0,1.8,
19,2015-04-02,9.8,9.8,9.8,0.0,2.0,
26,2015-03-31,11.1,11.1,11.1,0.0,2.4,
26,2015-04-01,14.0,14.0,14.0,0.0,0.5,
26,2015-04-02,16.0,16.0,16.0,0.0,1.3,
36,2015-03-31,12.3,12.3,12.3,0.0,,
58,2015-03-31,10.7,10.7,10.7,0.0,1.0,
58,2015-04-01,14.8,14.8,14.8,0.0,0.5,
58,2015-04-02,13.2,13.2,13.2,0.0,2.6,
61,2015-03-31,13.3,13.3,13.3,0.0,1.0,
61,2015-04-01,15.0,15.0,15.0,0.0,2.1,
61,2015-04-02,10.7,10.7,10.7,0.0,5.4,
78,2015-03-31,13.2,13.2,13.2,0.0,2.8,
78,2015-04-01,14.6,14.6,14.6,0.5,0.8,
78,2015-04-02,11.4,11.4,11.4,0.0,3.0,
88,2015-03-31,11.1,11.1,11.1,0.0,0.7,
88,2015-04-01,13.2,13.2,13.2,0.0,2.0,
88,2015-04-02,9.4,9.4,9.4,0.0,5.1,
90,2015-03-31,18.2,18.2,18.2,0.0,1.7,23.6
90,2015-04-01,9.0,9.0,9.0,1.0,4.0,98.5
90,2015-04-02,5.9,5.9,5.9,0.0,1.2,98.9
92,2015-03-31,17.8,17.8,17.8,0.0,6.0,
92,2015-04-01,8.4,8.4,8.4,0.0,6.0,
92,2015-04-02,3.2,3.2,3.2,0.0,2.0,
95,2015-03-31,5.9,5.9,5.9,0.0,0.3,57.2
95,2015-04-01,10.9,10.9,10.9,1.0,0.9,94.7
95,2015-04-02,4.6,4.6,4.6,0.0,0.4,86.2
96,2015-03-31,11.1,11.1,11.1,0.0,1.2,87.2
96,2015-04-01,11.6,11.6,11.6,0.0,6.5,95.3
96,2015-04-02,6.9,6.9,6.9,0.0,3.0,73.6
98,2015-03-31,10.3,10.3,10.3,0.0,0.6,64.4
98,2015-04-01,11.7,11.7,11.7,0.0,0.7,98.8
98,2015-04-02,8.7,8.7,8.7,0.0,0.8,64.7
99,2015-03-31,7.5,7.5,7.5,0.0,0.2,75.8
