표준지점번호,지점명,장비구분,기관명,운영부서,주소,Latitude,Longitude,,
1100,강남구청,강수량계,서울특별시,강남구,서울특별시 강남구 삼성동 16-1(강남구청 제2별관),37.52,127.05,,
1102,세곡동,강수량계,서울특별시,강남구,서울특별시 강남구 율현동 278-1(세곡동 주민센터),37.4690759,127.1070218,,
1101,개포동,강수량계,서울특별시,강남구,서울특별시 강남구 개포로 511(개포2동 주민센터),37.4897125,127.0685462,,
1103,강동구청,강수량계,서울특별시,강동구,서울특별시 강동구 성내동 강동구청 540,37.530122,127.1237479,,
1104,고덕2동,강수량계,서울특별시,강동구,서울특별시 강동구 고덕2동 226-4 고덕2동사무소,37.5604556,127.1643682,,
1116,도봉구청,강수량계,서울특별시,도봉구,서울특별시 도봉구 방학동 720 도봉구청,37.6687055,127.0471,,
1114,노원구청,강수량계,서울특별시,노원구,서울특별시 노원구 상계동 701-1 노원구청,37.6541639,127.0566603,,
1115,상계1동,강수량계,서울특별시,노원구,서울특별시 노원구 상계동 1259 상계1동 사무소,37.6798498,127.0548843,,
1105,강북구청,강수량계,서울특별시,강북구,서울특별시 강북구 솔매로49길 14(미아동),37.6270621,127.0269669,,
1130,성북구청,강수량계,서울특별시,성북구,서울특별시 성북구 보문동 보문로 168 성북구청,37.589366,127.016743,,
1129,상월곡동,강수량계,서울특별시,성북구,서울특별시 성북구 하월곡동 225-7 월곡1동 주민센터,37.6105351,127.0357665,,
1146,중랑구청,강수량계,서울특별시,중랑구,서울특별시 중랑구 신내동 662번지 중랑구청,37.6066256,127.0929078,,
1145,면목,강수량계,서울특별시,중랑구,서울특별시 중랑구 면목5동 168-1(면목빗물펌프장),37.5830466,127.079534,,
1118,동대문구청,강수량계,서울특별시,동대문구,서울특별시 동대문구 천호대로 145(용두동) 동대문구청,37.5742015,127.0398327,,
1119,휘경펌프장,강수량계,서울특별시,동대문구,서울특별시 동대문구 한천로326 휘경펌프장,37.5882047,127.0645152,,
1128,성동구청,강수량계,서울특별시,성동구,서울특별시 성동구 고산자로 270(행당동) 성동구청,37.5634092,127.0369449,,
1127,뚝섬,강수량계,서울특별시,성동구,서울특별시 성동구 광나루로 104(성수동1가) 뚝섬펌프장,37.547206,127.047405,,
